id;nom_client_moral;numero_identification_client_moral;adresse_client_moral;email_client_moral;telephone_client_moral;ville_client_moral;activite_client_moral
1;connect withdrawal;paradigms model Berkshire;USB online Mouse;Monaco;24/7 bypassing;Molière programming;empowering clicks-and-mortar a
2;bypassing;azure;modular Soft;Centre;blue 24/365;paradigm Practical Money;SQL Concrete virtual
3;facilitate;b Soap;contextually-based application connecting;Limousin;overriding Rhône-Alpes Executif;Loan;embrace plum
4;Belize repurpose Bourgogne;Pizza;Shoes;Cotton maximized Bedfordshire;indexing;emulation;eyeballs back-end Licensed
5;quantifying;Sports open-source Refined;Generic navigating primary;Centre Checking Namibia;well-modulated;Incredible azure;Loan Metal Electronics
6;Small a;input Tools;c synthesizing Cambridgeshire;Pays Hat;Espagne;input Bedfordshire;base Frozen
7;model overriding;Industrial RSS;paradigms microchip;transmitting JBOD visualize;d'Azur Savings b;Architecte SDD Specialiste;bluetooth transmitter
8;Borders;Berkshire edge;Credit Gorgeous;Re-contextualized violet;Champagne-Ardenne enhance;experiences;invoice Steel transparent
9;Pierre backing monitor;override Synergistic;Wooden mobile utilisation;Checking c XML;Architecte;redundant neural;portals Ball Agent
10;Ukraine SAS;Personal Licensed repurpose;backing;Handcrafted Rhône-Alpes Towels;Tools;neural Frozen overriding;Account du Panoramas
